Date,Open,High,Low,Close,Adj Close,Volume
2020-04-27,64.599998,64.705002,63.252998,63.542999,63.542999,44186000
2020-04-28,64.160004,64.237999,61.519001,61.629501,61.629501,80700000
2020-04-29,67.250000,68.007500,66.336502,67.109001,67.109001,108358000
2020-04-30,66.568001,67.500000,66.074997,67.334999,67.334999,55842000
2020-05-01,66.204498,67.571503,65.483002,65.865997,65.865997,48872000
2020-05-04,65.406502,66.223503,64.800499,66.144997,66.144997,30806000
2020-05-05,66.875000,68.550499,66.751503,67.450996,67.450996,39666000
2020-05-06,67.900002,68.434502,67.256500,67.271500,67.271500,31732000
2020-05-07,68.065498,68.800003,67.626999,68.463997,68.463997,30652000
2020-05-08,69.091003,69.832001,68.600502,69.217003,69.217003,33326000
2020-05-11,68.839500,70.776497,68.775002,70.179497,70.179497,32718000
2020-05-12,70.411003,70.716499,68.725502,68.759003,68.759003,33918000
2020-05-13,68.807999,69.266502,66.400497,67.416496,67.416496,40368000
2020-05-14,66.676003,67.868500,66.165001,67.843002,67.843002,36660000
2020-05-15,67.413002,68.728996,66.949997,68.653000,68.653000,41544000
2020-05-18,68.079002,69.638000,67.709999,69.259003,69.259003,47094000
2020-05-19,69.274002,69.624496,68.688004,68.720001,68.720001,31586000
2020-05-20,69.458000,70.601501,69.371002,70.458000,70.458000,38262000
2020-05-21,70.549500,70.822998,69.719498,70.337502,70.337502,30894000
2020-05-22,70.195000,70.849998,69.797501,70.662003,70.662003,28544000
2020-05-26,72.098000,72.255501,70.970001,71.068497,71.068497,44590000
2020-05-27,71.000000,71.267502,69.730003,71.014000,71.014000,31684000
2020-05-28,70.000000,72.223000,69.954002,70.912003,70.912003,35170000
2020-05-29,71.021500,71.836502,70.799004,71.676003,71.676003,37044000
2020-06-01,71.285004,72.079002,71.113998,71.743500,71.743500,25162000
2020-06-02,71.750000,72.150002,71.080498,72.115501,72.115501,23442000
2020-06-03,72.135002,72.450500,71.581001,71.962502,71.962502,27732000
2020-06-04,71.838997,72.066002,70.300499,70.714996,70.714996,26982000
2020-06-05,70.781998,72.315002,70.380997,72.000999,72.000999,42642000
2020-06-08,71.314003,72.449997,71.223999,72.402000,72.402000,33878000
2020-06-09,72.262001,73.389999,72.117996,72.603996,72.603996,33624000
2020-06-10,73.075500,73.638496,72.718002,73.235001,73.235001,31762000
2020-06-11,72.051498,72.580002,69.920502,70.095001,70.095001,47144000
2020-06-12,71.292999,71.725502,69.290001,70.646004,70.646004,36676000
2020-06-15,69.474503,71.250000,69.360001,71.037003,71.037003,30468000
2020-06-16,72.449997,72.858498,71.449501,72.323502,72.323502,30648000
2020-06-17,72.647003,73.110001,71.756500,72.626999,72.626999,30610000
2020-06-18,72.492500,72.648499,71.311996,71.706001,71.706001,34862000
2020-06-19,72.000000,72.224998,70.949997,71.232002,71.232002,52784000
2020-06-22,71.250504,72.547501,70.959503,72.532997,72.532997,29442000
2020-06-23,72.599998,73.760002,72.250000,73.198997,73.198997,37752000
2020-06-24,73.164001,73.789497,71.500000,71.635002,71.635002,31592000
2020-06-25,71.560997,72.115997,70.976997,72.055000,72.055000,23958000
